key	title	kind	era_id	trigger_ref	repeat_policy	skip_policy	location_policy	participant_policy	authored_ref	source_ref	voice_policy	status	note	sort
scene.night_hunt.hunter_report	Кто-то стрелял: дневной повод	dialogue	1	quest:quest_e1_24.open	once	mandatory	office	procedural	rpg/manual/texts/night-hunt-scenes.md#кто-то-стрелял--лес-стал-чужим-ночью	rpg/manual/texts/night-hunt-scenes.md#кто-то-стрелял--лес-стал-чужим-ночью	engine_allowed	text_ready	Два ответа: взять ночь или отложить.	990
scene.night_hunt.distiller_decision	Решение по самогонщику	dialogue	1	scene:scene.night_hunt.distiller_intercept	once	mandatory	incident	procedural	rpg/manual/texts/night-hunt-scenes.md#перехват-самогонщика-у-ворот	rpg/manual/texts/night-hunt-scenes.md#перехват-самогонщика-у-ворот	engine_allowed	text_ready	Четыре ответа и условное второе окно.	1000
scene.night_hunt.fishers_decision	Решение по рыболовам	dialogue	1	scene:scene.night_hunt.fishers_intercept	once	mandatory	incident	group	rpg/manual/texts/night-hunt-scenes.md#перехват-рыболовов-на-берегу	rpg/manual/texts/night-hunt-scenes.md#перехват-рыболовов-на-берегу	engine_allowed	text_ready	Четыре ответа и условное второе окно.	1010
scene.night_hunt.hunter_decision	Решение по охотнику	dialogue	1	scene:scene.night_hunt.hunter_intercept	once	mandatory	incident	procedural	rpg/manual/texts/night-hunt-scenes.md#перехват-охотника-в-лесу	rpg/manual/texts/night-hunt-scenes.md#перехват-охотника-в-лесу	engine_allowed	text_ready	Четыре ответа и условное второе окно.	1020
scene.night_hunt.repeat_intercept	Повторная ночная встреча	dialogue	1	fact:repeat_night_intercept	repeatable	mandatory	incident	procedural	rpg/manual/texts/night-hunt-scenes.md#повторные-встречи	rpg/manual/texts/night-hunt-scenes.md#повторные-встречи	engine_allowed	text_ready	Повторяемый интерактив.	1030
scene.shadow.first_shrinkage	Первая усушка	dialogue	1	fact:first_eligible_unrecorded_surplus	once	mandatory	office	fixed_person	rpg/manual/texts/shadow-line-scenes.md#когда-приходит-разговор	rpg/manual/texts/shadow-line-scenes.md#когда-приходит-разговор	engine_allowed	text_ready	Два авторских ответа.	1040
scene.shadow.reputation_signals	Голоса скрытой линии	background		fact:shadow_reputation_threshold	repeatable	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#голоса-скрытой-линии	rpg/manual/texts/shadow-line-scenes.md#голоса-скрытой-линии	engine_allowed	text_ready		1050
scene.shadow.line_recedes	Когда линия идёт назад	background		fact:shadow_reputation_falls	repeatable	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#когда-линия-идёт-назад	rpg/manual/texts/shadow-line-scenes.md#когда-линия-идёт-назад	engine_allowed	text_ready		1060
scene.shadow.conspiracy	Конспирация — разные правды	background	3	fact:first_conspiracy_effect	once	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#конспирация--разные-правды	rpg/manual/texts/shadow-line-scenes.md#конспирация--разные-правды	engine_allowed	text_ready		1070
scene.shadow.turnover	Оборот — склад не успел привыкнуть	background	3	fact:first_turnover_effect	once	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#оборот--склад-не-успел-привыкнуть	rpg/manual/texts/shadow-line-scenes.md#оборот--склад-не-успел-привыкнуть	engine_allowed	text_ready		1080
scene.shadow.accounting	Отчётность — цифрам лучше порознь	background	3	fact:first_accounting_effect	once	skippable	world	role_holder	rpg/manual/texts/shadow-line-scenes.md#отчётность--цифрам-лучше-порознь	rpg/manual/texts/shadow-line-scenes.md#отчётность--цифрам-лучше-порознь	engine_allowed	text_ready		1090
scene.shadow.connections	Связи — пока платят за календарь	background	3	fact:first_connections_warning	once	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#связи--пока-платят-за-календарь	rpg/manual/texts/shadow-line-scenes.md#связи--пока-платят-за-календарь	engine_allowed	text_ready		1100
scene.shadow.network	Сеть — каждая книга верна сама	background	3	fact:first_network_effect	once	skippable	world	fixed_person	rpg/manual/texts/shadow-line-scenes.md#сеть--каждая-книга-верна-сама-по-себе	rpg/manual/texts/shadow-line-scenes.md#сеть--каждая-книга-верна-сама-по-себе	engine_allowed	text_ready		1110
scene.shadow.second_owner_signals	Признаки второго хозяина	background	3	fact:second_shadow_owner_eligible	repeatable	skippable	world	procedural	rpg/manual/texts/shadow-line-scenes.md#признаки-второго-хозяина	rpg/manual/texts/shadow-line-scenes.md#признаки-второго-хозяина	engine_allowed	text_ready	Один или два сигнала при наличии реального говорящего.	1120
scene.shadow.two_owners_decision	Решение двух хозяев	dialogue	3	scene:scene.shadow.two_owners	once	mandatory	incident	procedural	rpg/manual/texts/shadow-line-scenes.md#встреча-с-теневым-хозяином	rpg/manual/texts/shadow-line-scenes.md#встреча-с-теневым-хозяином	text_only	text_ready	Два ответа; речь текстом, чтобы не раскрыть личность.	1130
scene.way.telephone_habit	Телефон стал привычкой	background	2	event:event_02; fact:club_call_to_departed_relative	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#новая-привычка--вечером-из-клуба	rpg/manual/texts/way-of-life-events.md#новая-привычка--вечером-из-клуба	engine_allowed	text_ready	Повторяющийся заголовок уточняется событием в trigger_ref.	1140
scene.way.second_day_off_habit	Второй выходной стал привычкой	background	2	event:event_11; fact:several_kept_saturdays	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#event_11--второй-выходной	rpg/manual/texts/way-of-life-events.md#event_11--второй-выходной	engine_allowed	text_ready	Авторский фрагмент «Новая привычка» внутри раздела события.	1150
scene.way.pension_habit	Пенсия стала привычкой	background	3	event:event_18; fact:several_pension_payments	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#event_18--пенсии-колхозникам	rpg/manual/texts/way-of-life-events.md#event_18--пенсии-колхозникам	engine_allowed	text_ready	Авторский фрагмент «Новая привычка» внутри раздела события.	1160
scene.way.passport_habit	Паспорт стал привычкой	background	3	event:event_19; fact:first_departure_notice_without_permission	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#event_19--выдача-паспортов	rpg/manual/texts/way-of-life-events.md#event_19--выдача-паспортов	engine_allowed	text_ready	Авторский фрагмент «Новая привычка» внутри раздела события.	1170
scene.way.cash_bad_month	Первый плохой денежный месяц	background	3	event:event_20; fact:first_bad_cash_month	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#первый-плохой-месяц	rpg/manual/texts/way-of-life-events.md#первый-плохой-месяц	engine_allowed	text_ready	Повторяющийся заголовок уточняется событием в trigger_ref.	1180
scene.way.cash_habit	Денежная оплата стала привычкой	background	3	event:event_20; fact:stable_cash_payment_series	repeatable	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#event_20--переход-на-денежную-оплату	rpg/manual/texts/way-of-life-events.md#event_20--переход-на-денежную-оплату	engine_allowed	text_ready	Авторский фрагмент «Новая привычка» внутри раздела события.	1190
scene.alcohol.first_talk	Не дать спиться: разговор	dialogue	1	quest:quest_e1_21.open	once	mandatory	office	procedural	rpg/manual/texts/alcoholism-quest-scenes.md#разговор-с-жителем	rpg/manual/texts/alcoholism-quest-scenes.md#разговор-с-жителем	engine_allowed	text_ready		1200
scene.alcohol.warning_talk	Разговор в окне предупреждения	dialogue	2	quest:quest_e2_23; fact:warning_window_open	once	mandatory	world	procedural	rpg/manual/texts/alcoholism-quest-scenes.md#разговор-в-окне-предупреждения	rpg/manual/texts/alcoholism-quest-scenes.md#разговор-в-окне-предупреждения	engine_allowed	text_ready		1210
scene.alcohol.warning_signals	Как слышно, что время идёт	background	2	quest:quest_e2_23; fact:warning_stage_changed	repeatable	skippable	world	procedural	rpg/manual/texts/alcoholism-quest-scenes.md#как-слышно-что-время-идёт	rpg/manual/texts/alcoholism-quest-scenes.md#как-слышно-что-время-идёт	engine_allowed	text_ready	Не точный таймер.	1220
scene.organization.party_returns	Возвраты парторга	background		fact:party_rule_conflict_visible	repeatable	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#возвраты-парторга-в-трёх-эпохах	rpg/manual/characters/organization-voices.md#возвраты-парторга-в-трёх-эпохах	engine_allowed	text_ready		1230
scene.organization.komsomol_returns	Возвраты комсорга	background		fact:young_person_or_common_work_visible	repeatable	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#возвраты-комсорга-в-трёх-эпохах	rpg/manual/characters/organization-voices.md#возвраты-комсорга-в-трёх-эпохах	engine_allowed	text_ready		1240
scene.order.watchman_reports	Обычные доклады сторожа	background		fact:watchman_observation	repeatable	skippable	world	role_holder	rpg/manual/characters/watch-and-patrol.md#три-обычных-доклада	rpg/manual/characters/watch-and-patrol.md#три-обычных-доклада	engine_allowed	text_ready		1250
scene.elder.first_meeting	Первая встреча с Рябининым	dialogue	1	quest:quest_e1_01; fact:first_layout_finished	once	mandatory	world	fixed_person	rpg/manual/characters/former-elder.md#первая-встреча--после-снятого-поля	rpg/manual/characters/former-elder.md#первая-встреча--после-снятого-поля	engine_allowed	text_ready	Свисток и аватарные строки — альтернативы той же ветки.	1260
scene.elder.warnings	Редкие предупреждения Рябинина	background	1	fact:visible_early_management_error	repeatable	skippable	world	fixed_person	rpg/manual/characters/former-elder.md#три-редких-предупреждения	rpg/manual/characters/former-elder.md#три-редких-предупреждения	engine_allowed	text_ready	Три типа, каждый звучит не более раза.	1270
scene.elder.own_name	Своим именем	dialogue	1	fact:chairman_cited_ryabinin_as_authority	once	mandatory	world	procedural	rpg/manual/characters/former-elder.md#опциональный-узел--своим-именем	rpg/manual/characters/former-elder.md#опциональный-узел--своим-именем	engine_allowed	text_ready		1280
scene.elder.restore_talk	Вернуть разговор с Рябининым	dialogue	1	fact:elder_advice_suspended	once	mandatory	world	fixed_person	rpg/manual/characters/former-elder.md#вернуть-разговор	rpg/manual/characters/former-elder.md#вернуть-разговор	engine_allowed	text_ready		1290
scene.elder.last_advice	Последний совет Рябинина	background	2	fact:profile_specialist_appointed	repeatable	skippable	world	fixed_person	rpg/manual/characters/former-elder.md#последний-совет--спросить-специалиста	rpg/manual/characters/former-elder.md#последний-совет--спросить-специалиста	engine_allowed	text_ready		1300
scene.secretary.late_help_list	Список помощи опоздал	background	2	fact:outdated_register_missed_lonely_household	repeatable	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#когда-список-помощи-опоздал	rpg/manual/characters/village-secretary.md#когда-список-помощи-опоздал	engine_allowed	text_ready		1310
scene.secretary.housing_queue	Очередь на дом	background	2	fact:first_or_long_housing_queue	repeatable	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#очередь-на-дом--бумага-которая-стареет	rpg/manual/characters/village-secretary.md#очередь-на-дом--бумага-которая-стареет	engine_allowed	text_ready		1320
scene.secretary.exit_certificate	Справка на выезд	background	2	fact:exit_certificate_decided	repeatable	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#справка-на-выезд--просьба-остаётся-после-бланка	rpg/manual/characters/village-secretary.md#справка-на-выезд--просьба-остаётся-после-бланка	engine_allowed	text_ready		1330
scene.secretary.phone_queue	Новая очередь без стульев	background	2	fact:several_personal_calls	repeatable	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#переговорный-пункт--новая-очередь-без-стульев	rpg/manual/characters/village-secretary.md#переговорный-пункт--новая-очередь-без-стульев	engine_allowed	text_ready		1340
scene.district.korenev.era1_question	Какое объяснение ваше	dialogue	1	fact:district_received_multiple_failure_explanations	once	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	engine_allowed	text_ready	Ответ опирается только на фактическое состояние.	1350
scene.district.korenev.era2_question	Кто отвечает после открытия	dialogue	2	fact:several_new_institutions_opened	once	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	engine_allowed	text_ready	Ответ опирается только на фактическое состояние.	1360
scene.district.korenev.era3_question	Почему им оставаться	dialogue	3	fact:post_passport_departure_outcome	once	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	rpg/manual/characters/district-faces.md#три-эпохальных-вопроса	engine_allowed	text_ready	Ответ опирается только на фактическое состояние.	1370
scene.district.korenev.protection_return	Второго разговора не будет	background	3	fact:korenev_protection_succeeded	once	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#игнат-захарович-коренев--вопрос-вместо-приговора	rpg/manual/characters/district-faces.md#игнат-захарович-коренев--вопрос-вместо-приговора	engine_allowed	text_ready	Авторский фрагмент «После купленной защиты»; озвучивает уже рассчитанный результат сделки.	1380
scene.district.stozharov.inspection_return	Маршрут Стожарова	dialogue		fact:stozharov_inspection_completed	repeatable	mandatory	unit	fixed_person	rpg/manual/characters/district-faces.md#роман-трофимович-стожаров--маршрут-который-нельзя-приготовить	rpg/manual/characters/district-faces.md#роман-трофимович-стожаров--маршрут-который-нельзя-приготовить	engine_allowed	text_ready	Авторский фрагмент «Возвраты проверки».	1390
scene.district.stozharov.protection_return	Один вопрос придержан	background	3	fact:stozharov_protection_succeeded	once	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#роман-трофимович-стожаров--маршрут-который-нельзя-приготовить	rpg/manual/characters/district-faces.md#роман-трофимович-стожаров--маршрут-который-нельзя-приготовить	engine_allowed	text_ready	Авторский фрагмент «После купленной защиты»; озвучивает границу результата.	1400
scene.district.karasev.inspection_return	Охват и человек	dialogue		fact:karasev_inspection_completed	repeatable	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#геннадий-маркович-карасёв--сначала-охват-потом-человек	rpg/manual/characters/district-faces.md#геннадий-маркович-карасёв--сначала-охват-потом-человек	engine_allowed	text_ready	Авторский фрагмент «Возвраты проверки».	1410
scene.district.karasev.fishing_hint	Намёк на рыбалку	cutscene_heads		fact:enhanced_fishing_invitation_opened	first_time	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#намёк-на-приём	rpg/manual/characters/district-faces.md#намёк-на-приём	engine_allowed	text_ready	Игнорирование не создаёт отдельной сцены.	1420
scene.district.karasev.mediation_offer	Положить вопрос Кореневу	dialogue	3	fact:korenev_mediation_channel_available	once	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#посредник-к-кореневу	rpg/manual/characters/district-faces.md#посредник-к-кореневу	engine_allowed	text_ready	Не открывает канал репликой, а озвучивает уже разрешённый.	1430
scene.district.karasev.meeting_appointed	Время передали	cutscene_heads	3	fact:korenev_meeting_appointed	once	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#посредник-к-кореневу	rpg/manual/characters/district-faces.md#посредник-к-кореневу	engine_allowed	text_ready	Сообщает уже назначенную встречу.	1440
scene.district.karasev.protection_return	Бумага не уйдёт сегодня	background	3	fact:karasev_protection_succeeded	once	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#геннадий-маркович-карасёв--сначала-охват-потом-человек	rpg/manual/characters/district-faces.md#геннадий-маркович-карасёв--сначала-охват-потом-человек	engine_allowed	text_ready	Авторский фрагмент «После купленной защиты»; озвучивает срок результата.	1450
scene.district.zhernova.inspection_question	Один вопрос под вечер	dialogue		fact:zhernova_discrepancy_found	repeatable	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#вопросы-по-эпохам	rpg/manual/characters/district-faces.md#серафима-прокофьевна-жернова--один-вопрос-под-вечер	engine_allowed	text_ready	Повторяемый диалог; конкретный вопрос выбирается по найденному факту.	1460
scene.district.zhernova.gift_response	Подарок отдельно, книги отдельно	cutscene_heads		fact:zhernova_gift_result	repeatable	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#подарок	rpg/manual/characters/district-faces.md#подарок	engine_allowed	text_ready	Не меняет рассчитанный результат проверки.	1470
scene.district.zhernova.protection_return	Какую строку не спрашивать	background	3	fact:zhernova_protection_succeeded	once	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#серафима-прокофьевна-жернова--один-вопрос-под-вечер	rpg/manual/characters/district-faces.md#серафима-прокофьевна-жернова--один-вопрос-под-вечер	engine_allowed	text_ready	Авторская строка после описания подарка; озвучивает уже рассчитанную защиту.	1480
scene.district.polushkina.inspection_return	Инструкция встречает жизнь	dialogue		fact:polushkina_inspection_completed	repeatable	mandatory	office	fixed_person	rpg/manual/characters/district-faces.md#зоя-викторовна-полушкина--инструкция-встречает-жизнь	rpg/manual/characters/district-faces.md#зоя-викторовна-полушкина--инструкция-встречает-жизнь	engine_allowed	text_ready	Авторский фрагмент «Возвраты проверки»; ситуация выбирается по факту проверки.	1490
scene.district.polushkina.reception_return	После приёма	background		fact:polushkina_reception_completed	repeatable	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#после-приёма	rpg/manual/characters/district-faces.md#после-приёма	engine_allowed	text_ready	Повторный просмотр использует фактическую проверку.	1500
scene.district.polushkina.senior_correction	Вопрос Жерновой записан	background		fact:zhernova_found_polushkina_miss	first_time	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#когда-после-неё-приехала-жернова	rpg/manual/characters/district-faces.md#когда-после-неё-приехала-жернова	engine_allowed	text_ready	Не вводит отдельного роста компетентности.	1510
scene.district.polushkina.protection_return	Эта версия закрыта	background	3	fact:polushkina_protection_succeeded	once	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#зоя-викторовна-полушкина--инструкция-встречает-жизнь	rpg/manual/characters/district-faces.md#зоя-викторовна-полушкина--инструкция-встречает-жизнь	engine_allowed	text_ready	Авторский фрагмент «После купленной защиты»; озвучивает уже рассчитанный результат.	1520
scene.district.junior_after_senior	Младший после старшего	background		fact:senior_inspector_revealed_junior_miss	first_time	skippable	office	fixed_person	rpg/manual/characters/district-faces.md#когда-младшего-сменяет-старший	rpg/manual/characters/district-faces.md#когда-младшего-сменяет-старший	engine_allowed	text_ready	Только если старший вернул ошибку младшего, а не приехал по независимому сигналу.	1530
scene.village.quiet_failure	Дальняя деревня называет расстояние	background		fact:distant_village_quiet_failure	repeatable	skippable	world	procedural	rpg/manual/characters/distant-village-voices.md#до-сельсовета-на-месте	rpg/manual/characters/distant-village-voices.md#до-сельсовета-на-месте	engine_allowed	text_ready	Не открывает квест; показывает уже рассчитанную цену расстояния.	1540
scene.village.first_local_council	У ошибки появился адрес	cutscene_heads		fact:first_local_council_created	once	skippable	unit	procedural	rpg/manual/characters/distant-village-voices.md#когда-появляется-сельсовет	rpg/manual/characters/distant-village-voices.md#когда-появляется-сельсовет	engine_allowed	text_ready	Без секретаря полный разбор ждёт назначения.	1550
scene.village.improvement_return	Исчезнувшее препятствие	background		fact:distant_village_obstacle_removed	repeatable	skippable	world	procedural	rpg/manual/characters/distant-village-voices.md#после-улучшения	rpg/manual/characters/distant-village-voices.md#после-улучшения	engine_allowed	text_ready	Не обещает, что одно улучшение решило все проблемы.	1560
scene.village.resettlement_return	Дом перевезти нельзя	cutscene_heads	3	fact:village_resettlement_confirmed	once	mandatory	world	procedural	rpg/manual/characters/distant-village-voices.md#сселение-в-эпохе-iii	rpg/manual/characters/distant-village-voices.md#сселение-в-эпохе-iii	engine_allowed	text_ready	Говорит взрослый житель, который действительно переезжает.	1570
